strasse
Willmanndamm 3/5
Dudenstr. 22
Heinersdorfer Weg 38 A-D
Wiesbadener Str. 17
Rüdesheimer Str. 6
Schlangenbader Str. 23 A-E
Wiesbadener Str. 59
Johannisberger Str. 17 a
Binger Str. 40
Tempelhofer Damm 4
Schlangenbader Str. 81
Schlangenbader Str. 11
Johannisberger Str. 5
Helgolandstr. 9
Cunostr. 109
Cunostr. 24
Cunostr. 23
Cunostr. 15-16
Cunostr. 19
Cunostr. 25-26
Seesener Str. 73
Hauptstr. 34/Eisenacher Str. 61
Varziner Str. 20
Schmargendorfer Str. 23/23 a
Stierstr. 3
Stierstr. 7/Hähnelstr. 15 a
Stierstr. 8-9
Niedstr. 4
Niedstr. 9
Niedstr. 12/Handjerystr. 25
Sponholzstr. 35
Fregestr. 70
Handjerystr. 85
Uhlandstr. 67/68
Uhlandstr. 77/78
Uhlandstr. 125
Uhlandstr. 85, Postgebäude
Uhlandstr. 136
Uhlandstr. 62
Kulmer Str. 12
Kulmer Str. 15
Kulmer Str. 17
Kulmer Str. 20
Neue Kulmer Str. 1/Großgörschenstr. 8
Großgörschenstr. 2
Großgörschenstr. 38
Steinmetzstr. 36 a
Yorckstr. 48
Schlangenbader Str. 91
Schlangenbader Str. 94/Nauheimer Str.
Nauheimer Str. 28/Binger Str. 8
Binger Str. 16/Homburger Str. 48
Johannisberger Str. 18/18 a
Babelsberger Str. 46
Babelsberger Str. 48
Babelsberger Str. 5/6
Prinzregentenstr. 15
Prinzregentenstr. 84
Helmstedter Str. 16/17
Helmstedter Str. 21
Prinzregentenstr. 23
Prinzregentenstr. 16/17
Berliner Str. 159
Prinzregentenstr. 78/Babelsberger Str. 3/Berliner Str. 160
Babelsberger Str. 3/Prinzregentenstr. 78/Berliner Str. 160
Helgolandstr. 8-11
Zoppoter Str. 1
Borkumer Str. 55
Borkumer Str. 49/51
Trautenaustr. 10
Apostel-Paulus-Str. 40
Kirchstr. 27
Ebersstr. 31/Gustav-Freytag-Str. 5
Kärntener Str. 25/Gutzkowstr. 1
Albertstr. 6
Merseburger Str. 1/Belziger Str.
Binger Str. 2/3
Forckenbeckstr. 2
Nassauische Str. 15
Stresemannstr. 78
Friedrichstr. 207/Kochstr.
Bänschstr. 37
Haubachstr. 15
Haubachstr. 16
Richard-Wagner-Str. 23
Richard-Wagner-Str. 35
Wilmersdorfer Str. 155
Wilmersdorfer Str. 156/Haubachstr.
Zillestr. 65
Aachener Str. 18
Berliner Str. 104-105/Barstr.
Blissestr. 31
Blissestr. 43
Blissestr. 49
Blissestr. 61
Ermslebener Weg 8
Kahlstr. 14
Kahlstr. 8-18/Rudolstädter Str. 12-14
Rudolstädter Str. 12-14/Kahlstr. 8-18
Mecklenburgische Str. 8-11
Badensche Str. 29
Gerdauer Str. 4, 5, 5 a
Hildegardstr. 22
Mehlitzstr. 1/2
Fechnerstr. 4/6
Gasteiner Str. 11
Gasteiner Str. 19, Feuerwehr
Güntzelstr. 51
Landhausstr. 37/38
Landhausstr. 8
Nassauische Str. 51
Düsseldorfer Str. 19
Holbeinstr. 34
Binger Str. 11
Binger Str. 15
Geisenheimer Str. 58/59
Johannisberger Str. 9
Berkaer Str. 3
Forckenbeckstr. 4
Helgolandstr. 12
Helgolandstr. 5
Hohenzollerndamm 150
Ruhlaer Str. 14
Sylter Str. 16-28
Sylter Str. 26
Heylstr. 2
Ebersstr. 75
Hauptstr. 106
Ebersstr. 77
Ebersstr. 87-88
Ebersstr. 84
Ebersstr. 80
Torgauer Str. 11 a, Gasometer-Gelände
Cheruskerstr. 34 b
Innsbrucker Platz 4
Torgauer Str. 11 a
Bautzener Str. 19
Monumentenstr. 31/Bautzener Str. 13
Katzlerstr. 5
Borussiastr. 38-38 b/Germaniastr. 157
Borussiastr. 35
Hähnelstr. 15 a/Stierstr. 7
Hähnelstr. 14
Hähnelstr. 20
Lauterstr. 1/Perelsplatz 18

Stierstr. 6
Friedrich-Wilhelm-Platz 7/Wiesbadener Str.1
Südwestkorso 9
Stubenrauchstr. 66
Rotdornstr. 4/5
Goßlerstr. 25
Goßlerstr. 27
Goßlerstr. 21
Blankenbergstr. 10/Odenwaldstr. 21
Fröaufstr. 5/Blankenbergstr. 1
Scharnweberstr. 7/Kapweg
Tempelhofer Ufer 6
Mehringdamm 8
Am Großen Wannsee 28-30
Am Großen Wannsee 26
Düsseldorfer Str. 32
Brandenburgische Str. 28/Duisburger Str. 11
Brandenburgische Str. 46/Ravensberger Str. 20
Brandenburgische Str. 22/Zähringer Str. 23
Brandenburgische Str. 44
Brandenburgische Str. 44 a
Ravensberger Str. 1/2
Eisenzahnstr. 13, Lidl
Eisenzahnstr. 3
Eisenzahnstr. 57
Eisenzahnstr. 60/60 a/61
Eisenzahnstr. 64
Paderborner Str. 2 b
Paderborner Str. 1
Paderborner Str. 5 a - d
Paderborner Str. 8/9
Paderborner Str. 9/10
Bruchsaler Str. 13
Durlacher Str. 11 b/13
Durlacher Str. 11 b
Durlacher Str. 21 b
Landhausstr. 10/10 a
Landhausstr. 11
Landhausstr. 11 a
Landhausstr. 12
Landhausstr. 26-28
Landhausstr. 42/43
Landhausstr. 43
Nassauische Str. 27/28
Nikolsburger Platz 6-9
Dernburgstr. 12
Leonhardtstr. 1/Stuttgarter Platz 21
Rönnestr. 15
Rönnestr. 26
Ahrweiler Str. 35
Aßmannshauser Str. 12 a
Borkumer Str. 12
Borkumer Str. 13
Eberbacher Str. 4
Südwestkorso 38/Kreuznacher Str. 70
Dillenburger Str. 60-60 f
Breite Str. 24
Breite Str. 12/Cunostr.
Motzstr. 6/8/10
Motzstr. 9/11
Nollendorfstr. 11/12
Berchtesgadener Str. 4/Penzberger Str.
Berchtesgadener Str. 5
Martin-Luther-Str. 44
Martin-Luther-Str. 46
Münchener Str. 22
Münchener Str. 23
Münchener Str. 24
Westarpstr. 5
Westarpstr. 7
Barbarossaplatz 5
Barbarossastr. 59/Barbarossaplatz 4
Eisenacher Str. 50
Elßholzstr. 11
Elßholzstr. 15
Gleditschstr. 35
Hohenstaufenstr. 58
Lindauer Str. 12/Hohenstaufenstr.
Lindauer Str. 9
Rosenheimer Str. 37/37 a
Rosenheimer Str. 38
Rosenheimer Str. 6
Rosenheimer Str. 31
Schwäbische Str. 5-8, Schule
Schwäbische Str. 6 a/7
Winterfeldtstr. 76
Winterfeldtstr. 80
Winterfeldtstr. 83
Apostel-Paulus-Str. 18/Salzburger Str. 9
Berchtesgadener Str. 14/15
Berchtesgadener Str. 16/Apostel-Paulus-Str. 13
Berchtesgadener Str. 17
Berchtesgadener Str. 18/19
Berchtesgadener Str. 21/Wartburgstr. 15
Berchtesgadener Str. 22/23
Martin-Luther-Str. 108/Belziger Str. 74
Münchener Str. 26/27
Münchener Str. 29/Apostel-Paulus-Str.
Münchener Str. 31
Münchener Str. 30
Salzburger Str. 11
Germaniastr. 135 
Ringstr. 103-106, Johanna-Eck-Schule
Alt-Mariendorf 43, Rückseite Rudolf-Hildebrandt-Grundschule
Bismarckstr. 47
Bismarckstr. 65 a
Bismarckstr. 7
Kissingerstr. 15
Kniephofstr. 12
Kniephofstr. 26 a
Kniephofstr. 55
Sachsenwaldstr. 27/Kissinger Str. 10-10a

Holsteinische Str. 45
Brentanostr. 24/Spinozastr.
Brentanostr. 8
Breitenbachplatz 18/Schorlemerallee 1
Dillenburger Str. 1-7/Lentzeallee 109
Lentzeallee 109/Dillenburger Str. 1-7
Spilstr. 2-10/Lentzeallee 105-107/Breitenbachplatz
Lentzeallee 105-107/Breitenbachplatz/Spilstr. 2-10
Breitenbachplatz/Spilstr. 2-10/Lentzeallee 105
Forststr. 30
Forststr. 32/32 a
Forststr. 8
Forststr. 13/14
Beymestr. 5
Beymestr. 6/7, Evangelische Schule
Holsteinische Str. 45/46
Peschkestr. 5/Holsteinische Str. 44
Schöneberger Str. 9
Schöneberger Str. 10
Peschkestr. 6-10/Schöneberger Str./Holsteinische Str.
Schöneberger Str. 10/Holsteinische Str./Peschkestr.
Holsteinische Str. 47/Peschkestr./Schöneberger Str.
Peschkestr. 3
Prinzregentenstr. 54/55
Laubacher Str. 42/Landauer Str. 2
Johannisberger Str. 39 a
Binger Str. 70 a
Dillenburger Str. 54, 56, 56 a - c
Wiesbadener Str. 50
Rüdesheimer Platz 6/Rüdesheimer Str. 3
Forckenbeckstr. 17
Cunostr. 64
Charlottenbrunner Str. 5 a/Cunostr.
Salzbrunner Str. 11/11 a
Salzbrunner Str. 13
Orber Str. 17 a
Cunostr. 81/Kissingenplatz 1
Breite Str. 13/Cunostr. 110
Cunostr. 110/Breite Str. 13
Wilmersdorfer Str. 94
Berliner Str. 74
Reichsstr. 4, 4a, 5 / Stormstr. 5
Stormstr. 5 / Ecke Reichstr. 4
Stormstr. 4
Leistikowstr. 7/8, Reinhold-Otto-Schule
Leistikowstr. 3
Theodor-Heuss-Platz 10
Heerstr. 12, Bürgeramt
Heerstr. 10
Kastanienallee 18
Bayernallee 49/50, Seniorenheim
Reichsstr. 68
Karolingerplatz 12
Langobardenallee 13
Langobardenallee 6
Theodor-Heuss-Platz 8
Reichsstr. 1/Lindenallee 28, Eckhaus am Theo
Langobardenallee 1-11
Tharandter Str. 4
Prinzregentenstr. 7-8/Güntzelstr.
Prinzregentenstrasse 3/4
Güntzelstr. 59
Bundesallee 190/191
Güntzelstr. 57/58
Prinzregentenstr. 9-11
Bundesallee 182
Prinzregentenstr. 95
Aschaffenburger Str. 93/Prager Platz 6
Prager Platz 6/Aschaffenburger Str. 93
Bundesallee 197/198 a
Eberbacher Str. 27
Binger Str. 86
Schlangenbader Str. 88/89
Nauheimer Str. 29
Hoher Steinweg 6
Breite Str. 47
Breite Str. 46
Breite Str. 45
Breite Str. 37
Albrechtstr. 5/Reinhardtstr. 23
Antwerpener Str. 8/Brüsseler Str. 43
Brüsseler Str. 43
Malplaquetstr. 25
Amsterdamer Str. 13
Mehringdamm 95-97, Hofseite: Am Tempelhofer Berg
Am Tempelhofer Berg 8, Hofseite Mehringdamm 95-97
Mehringdamm 99/Fidicinstr., Hinterfront
Fidicinstr. 40
Fidicinstr. 43
Fidicinstr. 39
Fidicinstr. 15
Fidicinstr. 13-14/Schwiebusser Str. 10-11
Schwiebusser Str. 10-11/Fidicinstr. 13-14
Mehringdamm 103
Mehringdamm 97-99, Vorderfront
Mehringdamm 84, Hinterfront Methfesselstr.
Kreuzbergstr. 78/Methfesselstr. 4
Mehringdamm 80/82
Wilhelmshöhe 11
An der Dorfkirche 1
Südwestkorso 16
Martin-Luther-Str. 74/Grunewaldstr. 35
Schwäbische Str. 13/Grunewaldstr. 21
Grunewaldstr. 20/Schwäbische Str. 13
Berchtesgadener Str. 10/11, Löcknitz-Schule
Berchtesgadener Str. 9
Berchtesgadener Str. 8
Rosenheimer Str. 21
Grunewaldstr. 68
Freisingerstr. 7
Freisingerstr. 18
Grunewaldstr. 59/60, verlorene Niststätten
Bozener Str. 1/Grunewaldstr., Niststätte entfernt
Bozener Str. 21
Bozener Str. 13-14/Meraner Str. 18
Meraner Str. 18/Bozener Str. 13-14
Innsbrucker Str. 7/Wartburgstr. 22
Innsbrucker Str. 5/6
Innsbrucker Str. 5
Innsbrucker Str. 57
Bozener Str. 9-13/Meraner Str. 18-20a
Borstellstr. 11
Badensche Str. 8-8b/Kufsteiner Str. 15-19
Kufsteiner Str. 15-19/Badensche Str. 8-8b
Bozener Str. 8/Kufsteiner Str. 9
Bozener Str. 11/12
Kufsteiner Str. 7
Stübbenstr. 10
Stübbenstr. 5
Stübbenstr. 3, Hofkarree Rückfront Bayerischer Platz
Bayerischer Platz 4
Bayerischer Platz 5

Kolonnenstr. 56/Crellestr. 16 a - c
Kolonnenstr. 61
Hauptstr. 149
Hauptstr. 14/15
Hauptstr. 17
Kaiser-Wilhelm-Platz 6
Herbertstr. 1
Albrechtstr. 59
Alt-Lankwitz 77/78
Boraweg 1-3/Mühlenstr. 63
Bruchwitzstr. 4
Buhrowstr. 5
Karl-Stieler-Str. 9
Kniephofstr. 26
Liliencronstr. 11
Nicolaistr. 36
Paul-Schneider-Str. 22/24
Schönhauser Str. 16b
Steglitzer Damm 96
Stindestr. 33 a - d
Stindestr. 5, 6, 8, 9, 10
Stindestr. 2
Hermesweg 1/Am Eichgarten
Stindestr. 28
Sedanstr. 25
Friedenfelser Str. 13
Albrechtstr. 14/14 a
Kellerstr. 1
Stephanstr. 33
Hünensteig 20-28
Albrechtstr. 114
Am Eichgarten 14
Bergstr. 9/Körnerstr.
Elisenstr. 6
Friedrichsruher Str. 30
Friedrichsruher Str. 48
Hubertusstr. 6
Kniephofstr. 15
Kniephofstr. 14/Schönhauser Str. 16
Schönhauser Str. 16/Lauenburger Str. 34
Lauenburger Str. 34/Friedrichsruher Str. 46
Kniephofstr. 14/Friedrichsruher Str. 46 
Leydenallee 39
Rothenburgstr. 8/9
Steinstr. 21
Steinstr. 22
Steinstr. 25
Steinstr. 5
Karl-Stieler-Str. 10/11, Grundschule am Stadtpark Steglitz
Stindestr. 9
Stindestr. 11
Stindestr. 5/6
Borstellstr. 30
Albrechtstr. 64
Halskestr. 12 a
Borstellstr. 20
Liebenowzeile 29/Steglitzer Damm
Steglitzer Damm 84/Denkstr. 9
Borstellstr. 14
Fabeckstr. 36 a
Albrechtstr. 81, Ev. Gemeindehaus Markus
Fabeckstr. 55
Albrechtstr. 58
Britzer Damm 151
Sömmeringstr. 39
Sömmeringstr. 37
Sömmeringstr. 35
Osnabrücker Str. 1/Mierendorffplatz
Osnabrücker Str. 2
General-Pape-Str. 1, S-Bhf. Südkreuz
Horst-Kohl-Str. 18-19
Kissingerstr. 12
Kniephofstr. 46
Kniephofstr. 48
Sachsenwaldstr. 6-7/Bismarckstr. 72-73
Schöneberger Str. 4
Schöneberger Str. 5
Forststr. 51
Forststr. 52
Forststr. 6/7
Grillparzerstr. 16
Gritznerstr. 19-23, Dunant-Grundschule
Heimstättenweg 3
Paulsenstr. 44
Albrechtstr. 131/Hermann-Ehlers-Platz
Mittelstr. 41
Albrechtstr. 113
Buhrowstr. 25
Denkstr. 11
Halskestr. 1
Halskestr. 11
Mittelstr. 21/21 a
Mittelstr. 36
Stephanstr. 26
Stindestr. 29

Stindestr. 27-29
Bergstr. 40
Friedrichsruher Str. 38
Friedrichsruher Str. 11
Friedrichsruher Str. 26 a
Friedrichsruher Str. 31
Friedrichsruher Str. 44
Göttinger Str. 3
Immenweg 20-26
Jeverstr. 19
Lauenburger Str. 55
Lauenburger Str. 83
Selerweg 29
Alt-Lankwitz 88
Bischofsgrüner Weg 104
Kamenzer Damm 46-52
Breisgauer Str. 2
Martin-Buber-Str. 20/21, Finanzamt Zehlendorf
Machnower Str. 3
Mörchinger Str. 42-46, 47, 51 a-c, 53 d-k
Drakestr. 72-74, Goethe-Gymnasium
Lauenburger Str. 87
Steinstr. 13
Uhlandstr. 170a, Passage
Brahestr. 39/Mierendorffplatz 15
Kamminer Str. 33 a
Mierendorffplatz 15
Mindener Str. 19/Kamminer Str. 34
Osnabrücker Str.1/Mierendorffplatz
Osnabrücker Str. 10
Osnabrücker Str. 11
Osnabrücker Str. 8/Kamminer Str. 10
Tegeler Weg 10
Tegeler Weg 10/11
Georg-Wilhelm-Str. 18-19/Lützenstr. 13
Lützenstr. 13/Georg-Wilhelm-Str. 18-19
Lützenstr. 1/Georg-Wilhelm-Str. 17, kompletter Standortverlust 
Georg-Wilhelm-Str. 17/Lützenstr. 1, kompletter Standortverlust
Georg-Wilhelm-Str. 3
Georg-Wilhelm-Str. 4, kompletter Standortverlust 
Joachim-Friedrich-Str. 46
Karlsruher Str. 17,  Gebäude abgerissen
Karlsruher Str. 6/7 
Karlsruher Str. 8-9, kompletter Standortverlust 
Katharinenstr. 21
Katharinenstr. 22 b - e,  kompletter Standortverlust 
Kurfürstendamm 138
Kurfürstendamm 118
Lützenstr. 5
Ringbahnstr. 14/16
Ahrweiler Str. 10/Markobrunner Str.
Ahrweiler Str. 25 c
Ahrweiler Str. 26
Geisenheimer Str. 11 a
Geisenheimer Str. 11/12 a
Geisenheimer Str. 12 a
Zoppoter Str. 4/Helgolandstr.
Breite Str. 21/22
Zoppoter Str. 9
Brahestr. 12/12 a
Brahestr. 28
Herschelstr. 6/6 a
Herschelstr. 5
Herschelstr. 3/3 a
Herschelstr. 1
Kamminer Str. 10
Mecklenburgische Str. 23 a, S-Bhf. Heidelberger Platz
Dovestr. 1
Markobrunner Str. 25
Markobrunner Str. 3
Mecklenburgische Str. 26 a/27
Schöneberger Str. 14
Peschkestr. 13-14/Fregestr. 38
Fregestr. 38/Peschke 13-14
Fregestr. 39
Schloßstr. 6/Markelstr.
Berlepschstr. 54
Mörchinger Str. 82-86
Teltower Damm 20
Albrechtstr. 68
Albrechtstr. 76
Bergstr. 1
Marienfelder Allee 145
Stierstr. 2
Ceciliengärten 1/Traegerstr.
Hähnelstr. 15
Hoeppnerstr. 22 c
Hoeppnerstr. 19
Hoeppnerstr. 22 e
Tempelhofer Damm 92
Hauptstr. 68/Benningsenstr.
Sponholzstr. 56
Kunigundenstr. 1/Werderstr. 14
Werderstr. 14/Kunigundenstr. 1
Wolframstr. 1/Kunigundenstr.
Werderstr. 14
Bülowstr. 66, Hof D
Niedstr. 16
Pappelallee 3, 4, 6, verlorene Niststätten
Pappelallee 80
Behmstr. 65
Behmstr. 71/73
Behmstr. 73
Behmstr. 77
Blankenburger Str. 23, Schule 
Brehmestr. 48
Breite Str. 20
Breite Str. 31-37/Mühlenstr.
Breite Str. 7
Mühlenstr. 16/17
Mühlenstr. 88
Mühlenstr. 9-11/Neue Schönholzer Str., alte Mälzerei
Ossietzkystr. 25/26
Berliner Str. 18
Berliner Str. 47/48
Berliner Str. 77
Neumannstr. 11
Neumannstr. 24-26
Neumannstr. 4
Prenzlauer Promenade 138
Hendrichplatz 33/33 b
Hendrichplatz 10
Hendrichplatz 19
Scheffelstr. 14
Elli-Voigt-Str. 16
Elli-Voigt-Str. 17
Elli-Voigt-Str. 20
Elli-Voigt-Str. 12-20
Franz-Jacob-Str. 14
Kleine Markusstr. 49, 18. Volksschule
Bugenhagenstr. 10
Bugenhagenstr. 12/Wilhelmshavener Str. 65
Bugenhagenstr. 8-9
Zinzendorfstr. 15, Gotzkowskyschule
Zinzendorfstr. 5
Holsteiner Ufer 28/30, 32/34
Holsteiner Ufer 34
Alt-Moabit 92
Schierker Str. 8, Körnerpark
Guineastr. 26-29
Breitenbachplatz 13, 15
Archivstr. 3 a/Peter-Lenné-Str.
Thielallee 37 a - b
Hackerstr. 12/13
Markelstr. 2/3
Markelstr. 4
Markelstr. 60/61
Markelstr. 5
Markelstr. 56
Markelstr. 12
Markelstr. 50/51
Markelstr. 14/Hackerstr. 11
Lepsiusstr. 15/Markelstr.
Bonner Str. 7-14
Bonner Str. 1 a, 2
Kreuznacher Str. 42
Ludwig-Barnay-Platz 1
Markobrunner Str. 13-17
Markobrunner Str. 23
Olivaer Platz 17
Wiesbadener Str. 51 a
Breite Str. 47
Rognitzstr. 11-12/Kaiserdamm 21
Mecklenburgische Str. 53, altes Cornelsenhaus
Ahrweiler Str. 19 a
Barstr. 24
Barstr. 23/Wallenbergstr. 7
Mannheimer Str. 16
Ermslebener Weg 5-8
Kahlstr. 12, 14
Rudolstädter Str. 12, 14, 16 etc.
Wallenbergstr. 9
Barstr. 23-25/Wallenbergstr. 7, 9/Kahlstr.
Katzlerstr. 14, 15
Katzlerstr. 7
Bundesallee 111
Rubensstr. 125, Auguste-Viktoria-Krankenhaus
Jeverstr. 10-11 (KITA)
Ahornstr. 30/31
Ahornstr. 31
Am Eichgarten 15/Weverpromenade
Am Fenn 8
Benzmannstr. 12
Benzmannstr. 15
Lacknerstr. 2
Lacknerstr. 10
Liliencronstr. 6+7
Albrechtstr. 12/Schützenstr. 54
Schützenstr. 54/Albrechtstr. 12
Friedrichsruher Str. 57/Jeverstr. 3-4
Kniephofstr. 4
Lauenburger Str. 114
Lauenburger Str. 57
Schützenstr. 7
Steglitzer Damm 16
Südendstr. 22
Enzianstr. 5/5 a
Gardeschützenweg 103
Gardeschützenweg 106
Gardeschützenweg 14-18
Gardeschützenweg 66/Moltkestr. 51
Moltkestr. 51/Gardeschützenweg 66
Hindenburgdamm 1, Postamt
Hindenburgdamm 68/Geranienstr.
Hortensienstr. 16
Hortensienstr. 17, 17a, 17 b
