web_id,adresse_original,adresse_bereinigt,lat,lon,coord_source
1215,Benzmannstr. 36,Benzmannstr. 36,52.4469965,13.3479451,osm
616,"Berchtesgadener Str. 10/11, Löcknitz-Schule",Berchtesgadener Str. 10,52.4895027,13.3435565,osm
479,Berchtesgadener Str. 14/15,Berchtesgadener Str. 14,52.4884149,13.3436139,osm
480,Berchtesgadener Str. 16/Apostel-Paulus-Str. 13,Berchtesgadener Str. 16,52.4880053,13.3436143,osm
481,Berchtesgadener Str. 17,Berchtesgadener Str. 17,52.4874542,13.3436743,osm
482,Berchtesgadener Str. 18/19,Berchtesgadener Str. 18,52.4873335,13.3436838,osm
483,Berchtesgadener Str. 21/Wartburgstr. 15,Berchtesgadener Str. 21,52.4871428,13.344043,osm
484,Berchtesgadener Str. 22/23,Berchtesgadener Str. 22,52.4872777,13.3440381,osm
451,Berchtesgadener Str. 4/Penzberger Str.,Berchtesgadener Str. 4,52.491202,13.3434228,osm
452,Berchtesgadener Str. 5,Berchtesgadener Str. 5,52.490968,13.3434286,osm
618,Berchtesgadener Str. 8,Berchtesgadener Str. 8,52.4899514,13.343471,osm
617,Berchtesgadener Str. 9,Berchtesgadener Str. 9,52.4897793,13.3434691,osm
829,Bergstr. 1,Bergstr. 1,52.4578392,13.3264931,osm
744,Bergstr. 40,Bergstr. 40,52.4583857,13.3327128,osm
1417,Bergstr. 8,Bergstr. 8,52.4579624,13.3292386,osm
678,Bergstr. 9/Körnerstr.,Bergstr. 9,52.4580085,13.3301138,osm
1418,Bergstr. 90 / Stadtbad,Bergstr. 90,52.45826035,13.328638956589272,osm
1419,Bergstr. 92,Bergstr. 92,52.45858805,13.327720986652537,osm
1735,"Berkaer Str. 27 / und 27a, 27b",Berkaer Str. 27,52.4810135,13.2828614,osm
357,Berkaer Str. 3,Berkaer Str. 3,52.476262,13.2896172,osm
1511,Berkaer Str. 6/ Ecke Auguste-Viktoria 55,Berkaer Str. 6,52.4767361,13.2889499,osm
1513,Berkaer Str.4 und 5,Berkaer Str. 4,52.475432,13.2904462,osm
824,Berlepschstr. 54,Berlepschstr. 54,52.427204849999995,13.24806684340548,osm
1155,Berliner 150/151/Badensche Str. 24/Landhaus 22,Berliner 150,52.4868025,13.3291861,osm
330,Berliner Str. 104-105/Barstr.,Berliner Str. 104,52.486417,13.3205028,osm
1855,Berliner Str. 106-114/Dahlemer Weg 2-10/Mörchinger Str. 22-26,Berliner Str. 106,52.4361702,13.2663661,osm
981,Berliner Str. 126,Berliner Str. 126,52.48624705,13.319549824237196,osm
1149,Berliner Str. 127,Berliner Str. 127,52.4862177,13.319614402047153,osm
1150,Berliner Str. 128,Berliner Str. 128,52.4865368,13.3204478,osm
301,Berliner Str. 159,Berliner Str. 159,52.4876181,13.3339498,osm
862,Berliner Str. 18,Berliner Str. 18,52.56548315,13.412063557018383,osm
1607,Berliner Str. 38,Berliner Str. 38,52.48678615,13.321233472499998,osm
136,Berliner Str. 45 a,Berliner Str. 45 a,52.4866684,13.3184583,osm
863,Berliner Str. 47/48,Berliner Str. 47,52.5600614,13.4127613,osm
1151,Berliner Str. 48,Berliner Str. 48,52.4866174,13.317615,osm
548,Berliner Str. 74,Berliner Str. 74,52.4878305,13.3087181,osm
864,Berliner Str. 77,Berliner Str. 77,52.5548247,13.4150294,osm
122,"Bernburger Str. 22, 22 a, 23",Bernburger Str. 22,52.5052867,13.3772954,osm
121,Bernburger Str. 35,Bernburger Str. 35,52.5047492,13.3806625,osm
1888,"Bernhard-Bästlein-Str. 22, Grundschule am Roederplatz",Bernhard-Bästlein-Str. 22,52.5289103,13.4821749,osm
1892,"Bernhard-Bästlein-Str. 56, Hans-Rosenthal-Schule",Bernhard-Bästlein-Str. 56,52.5318624,13.4806827,osm
1274,Beverstedter Weg 2/ Sylter Str. 15,Beverstedter Weg 2,52.4711894,13.3008112,osm
37,Beverstedter Weg 4,Beverstedter Weg 4,52.4710701,13.3007725,osm
1272,Beverstedter Weg 5,Beverstedter Weg 5,52.4708447,13.3011052,osm
38,Beverstedter Weg 6-8,Beverstedter Weg 6,52.470416,13.300746,osm
1107,Beymestr. 18a +b,Beymestr. 18a,52.4507957,13.3323054,osm
520,Beymestr. 5,Beymestr. 5,52.4509927,13.331142413336154,osm
521,"Beymestr. 6/7, Evangelische Schule",Beymestr. 6,52.4500973,13.331136099195174,osm
1846,"Bildhauerweg 9, Clay-Oberschule","Bildhauerweg 9 , Clay-Oberschule",52.4189934,13.4887033,osm
353,Binger Str. 11,Binger Str. 11,52.4757176,13.3094209,osm
354,Binger Str. 15,Binger Str. 15,52.4747564,13.3092573,osm
290,Binger Str. 16/Homburger Str. 48,Binger Str. 16,52.4742091,13.3093729,osm
89,Binger Str. 18,Binger Str. 18,52.4738539,13.3093628,osm
315,Binger Str. 2/3,Binger Str. 2,52.4779161,13.309361,osm
34,Binger Str. 20/Eberbacher Str.,Binger Str. 20,52.4736505,13.3093571,osm
246,Binger Str. 40,Binger Str. 40,52.46850015,13.30901739302698,osm
129,Binger Str. 69/Eberbacher Str.,Binger Str. 69,52.4736124,13.3097385,osm
533,Binger Str. 70 a,Binger Str. 70 a,52.47454,13.3095719,osm
61,Binger Str. 81,Binger Str. 81,52.4768753,13.309899,osm
581,Binger Str. 86,Binger Str. 86,52.4777233,13.3099116,osm
1308,Birkbusch 20-24/Kühlebornweg/Haydnstr. 26-28,Birkbusch 20,52.4426107,13.3319522,osm
757,Bischofsgrüner Weg 104,Bischofsgrüner Weg 104,52.4376629,13.3654562,osm
1216,Bismarckstr. 32,Bismarckstr. 32,52.4530303,13.3382861,osm
1229,Bismarckstr. 46,Bismarckstr. 46,52.4516067,13.3385944,osm
495,Bismarckstr. 47,Bismarckstr. 47,52.4521064,13.3385405,osm
496,Bismarckstr. 65 a,Bismarckstr. 65 a,52.4621081,13.3392545,osm
497,Bismarckstr. 7,Bismarckstr. 7,52.4622022,13.3389403,osm
1218,,,52.4653518,13.3451945,osm
1662,Bismarckstr. 49,Bismarckstr. 49,52.4532214,13.3390104,osm
1808,"Bismarckstr. 2, Schülerruderverband Wannsee e.V.","Bismarckstr. 2 , Schülerruderverband Wannsee e.V.",52.4193021,13.172335,osm
1783,Bismarckstr. 97/98,Bismarckstr. 97,52.5116096,13.3113503,osm
394,Blankenbergstr. 10/Odenwaldstr. 21,Blankenbergstr. 10,52.4675742,13.3248008,osm
853,"Blankenburger Str. 23, Schule ",Blankenburger Str. 23,52.5744208,13.4449056,osm
1570,Bleibtreustr. 20 / (nach Karte),Bleibtreustr. 20,52.5021397,13.3193461,osm
58,"Bleibtreustr. 49, Restaurant 12 Apostel",Bleibtreustr. 49,52.5051746,13.3190659,osm
982,Blissestr. 14/Wilhelmsaue 108 a,Blissestr. 14,52.4849551,13.3200649,osm
1152,Blissestr. 18/20 (Kino),Blissestr. 18,52.48472885,13.319834460946687,osm
