id,web_id,bezirk,plz,ort,strasse,anhang,erstbeobachtung,beschreibung,besonderes,checksum,update_date,new,mauersegler,kontrolle,sperling,ersatz,schwalbe,wichtig,star,sanierung,fledermaus,verloren,andere,noSpecies,is_test,strasse_original,has_comma,has_slash,has_range,multiple_numbers,multiple_streets,flag_has_text_after_number,text_after_number,no_geocode,osm_latitude,osm_longitude,google_latitude,google_longitude,latitude,longitude
13,937,Steglitz,12163,Berlin,Ahornstr. 31,,2012-06-29 00:00:00,"2012 Rückseite des Hauses, erreichbar durch kleinen Eingang zum Hof siehe Skizze, unter Dachrinne 2x Sperlinge, Mauersegleranflüge. 
Eingang zum Durchgang Hausnr. 32 Fassadenbegrünung",Fassadenbegrünung,836da1a1ff0b33941ea086960872ba995b2a98e3b06b2939fe0fc85f,2021-02-08 17:04:55,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,52.4603015,13.322963832568808,52.460303,13.3229126,52.460303,13.3229126
14,1449,Steglitz,12163,Berlin,Ahornstr. 32,,2015-06-11 00:00:00,2015 In Fassadenbegrünung und am Haus auch sonst zahlreich Sperlinge und Grünfinken,"Starke Fassadenbegrünung, hier Grünfinken und Sperlinge",99cbe776ee80f22fec053b4fb92a5378511780f1c1bb0407b7880c84,2020-05-08 10:53:32,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,,0,52.4604524,13.3232543,52.4604673,13.3231439,52.4604673,13.3231439
15,797,Wilmersdorf,14197,Berlin,Ahrweiler Str. 10,,2011-09-05 00:00:00,2011-09 Sperlinge an der Hausecke unter der Dachrinne,wird weiter beobachtet (2022),c48b296a08047e2bd9b2298f60739e5eabda826ac50fd0dd7459c2e4,2026-01-24 18:05:19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Ahrweiler Str. 10/Markobrunner Str.,0,1,0,0,1,0,,0,52.4708507,13.3171202,52.4708625,13.3171321,52.4708625,13.3171321
16,917,Wilmersdorf,14197,Berlin,Ahrweiler Str. 19A,,2012-06-11 00:00:00,2012 Sperlinge links von Haustür unter der Dachrinne,,0b60b6eb1a44b6759411065e166e32d985bd8af3ade322b81f5b5a67,2021-02-08 17:04:49,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Ahrweiler Str. 19 a,0,0,0,0,0,0,,0,52.4731998,13.3171185,52.46935,13.31876,52.46935,13.31876
17,798,Wilmersdorf,14197,Berlin,Ahrweiler Str. 25C,,2011-06-25 00:00:00,"2011-06 links von Haustür unter Dachrinne 1x Sperlinge, Mauersegleranflüge",wird weiter beobachtet (2022),c1f8dd72cd34569e834d9e14b509ccfbf7809885d0c72eb881617ca7,2026-01-24 18:05:19,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Ahrweiler Str. 25 c,0,0,0,0,0,0,,0,52.4712318,13.3174411,52.4712548,13.3174964,52.4712548,13.3174964
18,799,Wilmersdorf,14197,Berlin,Ahrweiler Str. 26,,2011-06-25 00:00:00,2011-06 3x Sperlinge unter Dachrinne,wird weiter beobachtet (2022),105827cf96cd3982482fdfbdc18bc73e4ad12474a06107f0a1baca6e,2026-01-24 18:05:19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,52.4713447,13.3173874,52.47135249999999,13.3174574,52.47135249999999,13.3174574
19,1440,Wilmersdorf,14197,Berlin,Ahrweiler Str. 29,,2014-07-15 00:00:00,"2021-06: Hausecke links zur Wiesbadener Straße hin, 2. Fenster von oben, links von Balkon, Einflug Sperling in Fensterverkleidung
Hausfassade wurde offenbar vor nicht allzu langer Zeit saniert, Fenster sehen noch ""alt"" aus

2014-07: Sperlinge rechte Hausseite, Ecke Fallrohr, in Linie rechte Ecke Balkonfront, außerdem Hofseite viele Anflüge Mauersegler","Aktualisierung ""Altdaten"" 2021",800e476d30ecd244993fa3684d6d706edfed425871e973fd63a45235,2021-11-07 18:39:12,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,52.4723067,13.3171502,52.4723179,13.3170894,52.4723179,13.3170894
20,439,Wilmersdorf,14197,Berlin,Ahrweiler Str. 35,,2009-06-02 00:00:00,"an rechter Hausgrenze, wo Vorsprung in Wand übergeht in Dachrinne 1x Sperlinge",,d026b63415d8f01d28354a4df05bc9184160f31c522a9c858ce5d69d,2020-05-15 18:26:35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,52.4742995,13.317826857575758,52.47427,13.3177743,52.47427,13.3177743
21,207,Schöneberg,10823,Berlin,Akazienstr. 11,,2006-07-17 00:00:00,"2006: Sichtung von der Gleditschstr. 80/80 a aus, das Nachbarhaus ist Gleditsch 80A, 1x Sperlinge Dachrinne Nähe Fallrohr, viele Mauersegleranflüge",,d827478f81670949ed1f7c917af59d8eab1454544bbb0bb0aa296087,2021-03-29 12:21:25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Akazienstr. 11-12, Hinterhofseite",1,0,1,1,0,0,,0,52.4892176,13.3533825,52.48842519999999,13.354219,52.48842519999999,13.354219
22,161,Schöneberg,10823,Berlin,Akazienstr. 12,"alt, Tempelhof-Schöneberg",2006-06-12 00:00:00,"2006: 1x Mauersegler: Position rechte Ecke über Balkon an linker Hausgrenze, dort unter Dachvorsprung längliche Öffnung",,bf12357c512a86ef2b2b0ddfb412c713853fb1a6d10dcb4cd441f855,2020-06-08 19:20:55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,52.4885664,13.3539722,52.4885886,13.3540879,52.4885886,13.3540879
